inventory_type,sectors_sector,category_full,category_label,source_full,source_label,source_units,concept,value
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Biofuel,Biofuel,VMT,cy_2007_tco2e_20_yr_gwp,0.0
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,Diesel,Diesel,VMT,cy_2007_tco2e_20_yr_gwp,62275.45
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,CNG,Natural gas,VMT,cy_2007_tco2e_20_yr_gwp,0.0
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,Gasoline,Gasoline,VMT,cy_2007_tco2e_20_yr_gwp,0.0
GPC,Transportation,For Hire,For hire vehicles,Gasoline,Gasoline,VMT,cy_2007_tco2e_20_yr_gwp,1299653.53
GPC,Transportation,For Hire,For hire vehicles,Diesel,Diesel,VMT,cy_2007_tco2e_20_yr_gwp,0.0
GPC,Transportation,For Hire,For hire vehicles,Electricity,Electricity,VMT,cy_2007_tco2e_20_yr_gwp,0.0
GPC,Transportation,School Bus,School buses,Gasoline,Gasoline,VMT,cy_2007_tco2e_20_yr_gwp,0.0
GPC,Transportation,School Bus,School buses,Diesel,Diesel,VMT,cy_2007_tco2e_20_yr_gwp,50931.56
GPC,Transportation,School Bus,School buses,Electricity,Electricity,VMT,cy_2007_tco2e_20_yr_gwp,0.0
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Upstream CNG,Upstream CNG,VMT,cy_2007_tco2e_20_yr_gwp,0.0
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Downstream CNG,Downstream CNG,VMT,cy_2007_tco2e_20_yr_gwp,0.0
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Upstream CNG,Upstream CNG,VMT,cy_2007_tco2e_20_yr_gwp,28.16
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Downstream CNG,Downstream CNG,VMT,cy_2007_tco2e_20_yr_gwp,28.16
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Upstream CNG,Upstream CNG,VMT,cy_2007_tco2e_20_yr_gwp,0.0
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Downstream CNG,Downstream CNG,VMT,cy_2007_tco2e_20_yr_gwp,0.0
CLCPA Addition,Transportation,Refuse Truck (public and private),Refuse trucks,Upstream CNG,Upstream CNG,VMT,cy_2007_tco2e_20_yr_gwp,0.0
CLCPA Addition,Transportation,Refuse Truck (public and private),Refuse trucks,Downstream CNG,Downstream CNG,VMT,cy_2007_tco2e_20_yr_gwp,0.0
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Upstream Electricity,Upstream Electricity,VMT,cy_2007_tco2e_20_yr_gwp,38.4
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Upstream Electricity,Upstream Electricity,VMT,cy_2007_tco2e_20_yr_gwp,0.0
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Upstream Electricity,Upstream Electricity,VMT,cy_2007_tco2e_20_yr_gwp,0.0
CLCPA Addition,Transportation,School Bus,School buses,Upstream Electricity,Upstream Electricity,VMT,cy_2007_tco2e_20_yr_gwp,0.0
CLCPA Addition,Transportation,For Hire,For hire vehicles,Upstream Electricity,Upstream Electricity,VMT,cy_2007_tco2e_20_yr_gwp,0.0
GPC,Transportation,Buses,Buses,Diesel,Diesel,VMT,cy_2007_tco2e_20_yr_gwp,641198.59
GPC,Transportation,Buses,Buses,CNG,Natural gas,VMT,cy_2007_tco2e_20_yr_gwp,76019.54
CLCPA Addition,Transportation,Buses,Buses,Upstream CNG,Upstream CNG,VMT,cy_2007_tco2e_20_yr_gwp,4924.12
CLCPA Addition,Transportation,Buses,Buses,Downstream CNG,Downstream CNG,VMT,cy_2007_tco2e_20_yr_gwp,4924.12
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,cy_2007_tco2e_20_yr_gwp,917074.44
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,cy_2007_tco2e_20_yr_gwp,14545.96
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,cy_2007_tco2e_20_yr_gwp,728874.02
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,cy_2007_tco2e_20_yr_gwp,34069.42
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,cy_2007_tco2e_20_yr_gwp,0.0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,cy_2007_tco2e_20_yr_gwp,2077.7
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,cy_2007_tco2e_20_yr_gwp,5634871.36
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,cy_2007_tco2e_20_yr_gwp,10726.46
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,cy_2007_tco2e_20_yr_gwp,989068.69
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,cy_2007_tco2e_20_yr_gwp,78303.24
Total,Total,Total,Total,Total,Total,Total,cy_2007_tco2e_20_yr_gwp,97488873.63
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,cy_2008_consumed,131107009.25
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,cy_2008_consumed,64175239.61
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,cy_2008_consumed,177479668.92
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,cy_2008_consumed,1421342.93
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,cy_2008_consumed,14479576692.0
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,cy_2008_consumed,140712584224.4
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,cy_2008_consumed,2815676055.57
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,cy_2008_consumed,14479576692.0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,cy_2008_consumed,2815676055.57
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,cy_2008_consumed,140712584224.4
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,cy_2008_consumed,140712584224.4
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,cy_2008_consumed,74293844.1
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,cy_2008_consumed,11453914.82
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,cy_2008_consumed,21778528.04
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Biofuel,Biofuel,gallon,cy_2008_consumed,357792.09
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Electricity,Electricity,kWh,cy_2008_consumed,26155533959.86
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Natural gas,Natural gas,SCF,cy_2008_consumed,100313121212.27
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Steam,Steam,kg,cy_2008_consumed,6150175508.98
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,cy_2008_consumed,26155533959.86
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Steam,Upstream Steam,kg,cy_2008_consumed,6150175508.98
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,cy_2008_consumed,100313121212.27
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,cy_2008_consumed,100313121212.27
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,cy_2008_consumed,17127817.89
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,cy_2008_consumed,2467787.03
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,cy_2008_consumed,1681696.34
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,cy_2008_consumed,63515.73
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,cy_2008_consumed,8840352688.22
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,cy_2008_consumed,10781393511.8
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,cy_2008_consumed,1845052652.7
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,cy_2008_consumed,8840352688.22
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,cy_2008_consumed,1845052652.7
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,cy_2008_consumed,10781393511.8
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,cy_2008_consumed,10781393511.8
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,cy_2008_consumed,471481.0
GPC,Transportation,Passenger cars (public and private),Passenger cars,Gasoline,Gasoline,VMT,cy_2008_consumed,16774649083.69
GPC,Transportation,Passenger cars (public and private),Passenger cars,Diesel,Diesel,VMT,cy_2008_consumed,122278921.75
GPC,Transportation,Passenger cars (public and private),Passenger cars,CNG,Natural gas,VMT,cy_2008_consumed,0.0
GPC,Transportation,Passenger cars (public and private),Passenger cars,Electricity,Electricity,VMT,cy_2008_consumed,550757.29
GPC,Transportation,Passenger cars (public and private),Passenger cars,Other,Other,VMT,cy_2008_consumed,0.0
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Gasoline,Gasoline,VMT,cy_2008_consumed,378991645.92
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Diesel,Diesel,VMT,cy_2008_consumed,135065444.53
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,CNG,Natural gas,VMT,cy_2008_consumed,633521.19
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Electricity,Electricity,VMT,cy_2008_consumed,0.0
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Gasoline,Gasoline,VMT,cy_2008_consumed,0.0
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Diesel,Diesel,VMT,cy_2008_consumed,592294563.6
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,CNG,Natural gas,VMT,cy_2008_consumed,0.0
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Electricity,Electricity,VMT,cy_2008_consumed,0.0
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Biofuel,Biofuel,VMT,cy_2008_consumed,0.0
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,Diesel,Diesel,VMT,cy_2008_consumed,39023494.78
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,CNG,Natural gas,VMT,cy_2008_consumed,0.0
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,Gasoline,Gasoline,VMT,cy_2008_consumed,0.0
GPC,Transportation,For Hire,For hire vehicles,Gasoline,Gasoline,VMT,cy_2008_consumed,1985823083.0
GPC,Transportation,For Hire,For hire vehicles,Diesel,Diesel,VMT,cy_2008_consumed,0.0
GPC,Transportation,For Hire,For hire vehicles,Electricity,Electricity,VMT,cy_2008_consumed,0.0
GPC,Transportation,School Bus,School buses,Gasoline,Gasoline,VMT,cy_2008_consumed,0.0
GPC,Transportation,School Bus,School buses,Diesel,Diesel,VMT,cy_2008_consumed,55372922.16
GPC,Transportation,School Bus,School buses,Electricity,Electricity,VMT,cy_2008_consumed,0.0
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Upstream CNG,Upstream CNG,VMT,cy_2008_consumed,0.0
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Downstream CNG,Downstream CNG,VMT,cy_2008_consumed,0.0
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Upstream CNG,Upstream CNG,VMT,cy_2008_consumed,633521.19
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Downstream CNG,Downstream CNG,VMT,cy_2008_consumed,633521.19
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Upstream CNG,Upstream CNG,VMT,cy_2008_consumed,0.0
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Downstream CNG,Downstream CNG,VMT,cy_2008_consumed,0.0
CLCPA Addition,Transportation,Refuse Truck (public and private),Refuse trucks,Upstream CNG,Upstream CNG,VMT,cy_2008_consumed,0.0
CLCPA Addition,Transportation,Refuse Truck (public and private),Refuse trucks,Downstream CNG,Downstream CNG,VMT,cy_2008_consumed,0.0
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Upstream Electricity,Upstream Electricity,VMT,cy_2008_consumed,550757.29
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Upstream Electricity,Upstream Electricity,VMT,cy_2008_consumed,0.0
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Upstream Electricity,Upstream Electricity,VMT,cy_2008_consumed,0.0
CLCPA Addition,Transportation,School Bus,School buses,Upstream Electricity,Upstream Electricity,VMT,cy_2008_consumed,0.0
CLCPA Addition,Transportation,For Hire,For hire vehicles,Upstream Electricity,Upstream Electricity,VMT,cy_2008_consumed,0.0
GPC,Transportation,Buses,Buses,Diesel,Diesel,VMT,cy_2008_consumed,270725155.26
GPC,Transportation,Buses,Buses,CNG,Natural gas,VMT,cy_2008_consumed,42055202.25
CLCPA Addition,Transportation,Buses,Buses,Upstream CNG,Upstream CNG,VMT,cy_2008_consumed,42055202.25
CLCPA Addition,Transportation,Buses,Buses,Downstream CNG,Downstream CNG,VMT,cy_2008_consumed,42055202.25
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,cy_2008_consumed,2233046139.92
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,cy_2008_consumed,1408755.52
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,cy_2008_consumed,2233046139.92
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,cy_2008_consumed,4333150.72
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,cy_2008_consumed,0.0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,cy_2008_consumed,228389.37
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,cy_2008_consumed,6351754.26
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,cy_2008_consumed,18717.19
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,cy_2008_consumed,11986.32
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,cy_2008_consumed,291.98
Total,Total,Total,Total,Total,Total,Total,cy_2008_consumed,901459748922.61
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,cy_2008_tco2e_100_yr_gwp,1356463.27
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,cy_2008_tco2e_100_yr_gwp,705725.23
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,cy_2008_tco2e_100_yr_gwp,2006784.8
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,cy_2008_tco2e_100_yr_gwp,9.43
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,cy_2008_tco2e_100_yr_gwp,5513528.76
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,cy_2008_tco2e_100_yr_gwp,7668278.2
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,cy_2008_tco2e_100_yr_gwp,372766.47
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,cy_2008_tco2e_100_yr_gwp,768661.2
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,cy_2008_tco2e_100_yr_gwp,125956.94
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,cy_2008_tco2e_100_yr_gwp,246252.54
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Biofuel,Biofuel,gallon,cy_2008_tco2e_100_yr_gwp,2.37
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Electricity,Electricity,kWh,cy_2008_tco2e_100_yr_gwp,9959496.18
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Natural gas,Natural gas,SCF,cy_2008_tco2e_100_yr_gwp,5466667.57
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Steam,Steam,kg,cy_2008_tco2e_100_yr_gwp,814219.82
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Steam,Upstream Steam,kg,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,cy_2008_tco2e_100_yr_gwp,177208.34
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,cy_2008_tco2e_100_yr_gwp,27137.87
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,cy_2008_tco2e_100_yr_gwp,19015.15
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,cy_2008_tco2e_100_yr_gwp,0.42
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,cy_2008_tco2e_100_yr_gwp,3366226.78
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,cy_2008_tco2e_100_yr_gwp,587543.22
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,cy_2008_tco2e_100_yr_gwp,244265.95
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,cy_2008_tco2e_100_yr_gwp,220228.66
GPC,Transportation,Passenger cars (public and private),Passenger cars,Gasoline,Gasoline,VMT,cy_2008_tco2e_100_yr_gwp,10907038.57
GPC,Transportation,Passenger cars (public and private),Passenger cars,Diesel,Diesel,VMT,cy_2008_tco2e_100_yr_gwp,100723.7
GPC,Transportation,Passenger cars (public and private),Passenger cars,CNG,Natural gas,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,Passenger cars (public and private),Passenger cars,Electricity,Electricity,VMT,cy_2008_tco2e_100_yr_gwp,62.92
GPC,Transportation,Passenger cars (public and private),Passenger cars,Other,Other,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Gasoline,Gasoline,VMT,cy_2008_tco2e_100_yr_gwp,279953.7
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Diesel,Diesel,VMT,cy_2008_tco2e_100_yr_gwp,128731.81
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,CNG,Natural gas,VMT,cy_2008_tco2e_100_yr_gwp,383.38
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Electricity,Electricity,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Gasoline,Gasoline,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Diesel,Diesel,VMT,cy_2008_tco2e_100_yr_gwp,1359972.91
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,CNG,Natural gas,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Electricity,Electricity,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Biofuel,Biofuel,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,Diesel,Diesel,VMT,cy_2008_tco2e_100_yr_gwp,62422.24
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,CNG,Natural gas,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,Gasoline,Gasoline,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,For Hire,For hire vehicles,Gasoline,Gasoline,VMT,cy_2008_tco2e_100_yr_gwp,1282314.96
GPC,Transportation,For Hire,For hire vehicles,Diesel,Diesel,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,For Hire,For hire vehicles,Electricity,Electricity,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,School Bus,School buses,Gasoline,Gasoline,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,School Bus,School buses,Diesel,Diesel,VMT,cy_2008_tco2e_100_yr_gwp,52776.32
GPC,Transportation,School Bus,School buses,Electricity,Electricity,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Upstream CNG,Upstream CNG,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Downstream CNG,Downstream CNG,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Upstream CNG,Upstream CNG,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Downstream CNG,Downstream CNG,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Upstream CNG,Upstream CNG,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Downstream CNG,Downstream CNG,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Refuse Truck (public and private),Refuse trucks,Upstream CNG,Upstream CNG,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Refuse Truck (public and private),Refuse trucks,Downstream CNG,Downstream CNG,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Upstream Electricity,Upstream Electricity,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Upstream Electricity,Upstream Electricity,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Upstream Electricity,Upstream Electricity,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,School Bus,School buses,Upstream Electricity,Upstream Electricity,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,For Hire,For hire vehicles,Upstream Electricity,Upstream Electricity,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,Buses,Buses,Diesel,Diesel,VMT,cy_2008_tco2e_100_yr_gwp,536286.21
GPC,Transportation,Buses,Buses,CNG,Natural gas,VMT,cy_2008_tco2e_100_yr_gwp,77989.48
CLCPA Addition,Transportation,Buses,Buses,Upstream CNG,Upstream CNG,VMT,cy_2008_tco2e_100_yr_gwp,0.0
CLCPA Addition,Transportation,Buses,Buses,Downstream CNG,Downstream CNG,VMT,cy_2008_tco2e_100_yr_gwp,0.0
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,cy_2008_tco2e_100_yr_gwp,850298.62
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,cy_2008_tco2e_100_yr_gwp,14576.37
